"stock_id", "Title", "barcode", "category", "price"
"BP-M-HempB","Waxed Hemp Black","*BP-M-HEMPB*","Bagpipe Maintenance","0","0",
"BP-M-HempY","Waxed Hemp Yellow","*BP-M-HEMPY*","Bagpipe Maintenance","0","0",
"BP-M-HempY","Waxed Hemp Yellow","*BP-M-HEMPY*","Bagpipe Maintenance","0","0",
"BP-M-HempY","Waxed Hemp Yellow","*BP-M-HEMPY*","Bagpipe Maintenance","0","0",
"BP-M-HempY","Waxed Hemp Yellow","*BP-M-HEMPY*","Bagpipe Maintenance","0","0",
"BP-M-HempY","Waxed Hemp Yellow","*BP-M-HEMPY*","Bagpipe Maintenance","0","0",
"BP-M-HempY","Waxed Hemp Yellow","*BP-M-HEMPY*","Bagpipe Maintenance","0","0",
"BP-M-HempY","Waxed Hemp Yellow","*BP-M-HEMPY*","Bagpipe Maintenance","0","0",
"bp-adjust-mouthpiece","Adjustable Mouthpiece","*UST-MOUTHPIECE*","Bagpipe Parts","0","2",
"bp-adjust-mouthpiece","Adjustable Mouthpiece","*UST-MOUTHPIECE*","Bagpipe Parts","0","2",
"BP-M-AirstreamD4","Airstream Deluxe Mouthpiece 4.5 Inch","*BP-M-AIRSTREAMD4*","Bagpipe Parts","0","0",
"BP-M-AirstreamD5","Airstream Deluxe Mouthpiece 5.5 Inch","*BP-M-AIRSTREAMD5*","Bagpipe Parts","0","0",
"BP-M-Airstream3","Airstream Mouthpiece 3.5 Inch","*BP-M-AIRSTREAM3*","Bagpipe Parts","0","0",
"BP-M-Airstream3","Airstream Mouthpiece 3.5 Inch","*BP-M-AIRSTREAM3*","Bagpipe Parts","0","0",
"BP-M-Airstream4","Airstream Mouthpiece 4.5 Inch","*BP-M-AIRSTREAM4*","Bagpipe Parts","0","0",
"BP-M-Airstream4","Airstream Mouthpiece 4.5 Inch","*BP-M-AIRSTREAM4*","Bagpipe Parts","0","0",
"BP-M-Airstream4","Airstream Mouthpiece 4.5 Inch","*BP-M-AIRSTREAM4*","Bagpipe Parts","0","0",
"BP-M-Airstream5","Airstream Mouthpiece 5.5 Inch","*BP-M-AIRSTREAM5*","Bagpipe Parts","0","0",
"BP-M-Airstream5","Airstream Mouthpiece 5.5 Inch","*BP-M-AIRSTREAM5*","Bagpipe Parts","0","0",
"airstream-blow-tilt","AirStream Tilt Blowpipe","*RSTREAM-BLOW-TILT*","Bagpipe Parts","0","1",
"BP-BCV-Used","Bag Cover - Used","*BP-BCV-USED*","Bagpipe Parts","0","0",
"BP-S-Drones","Bagpipe Drone Stopper","*BP-S-DRONES*","Bagpipe Parts","0","0",
"BP-S-Drones","Bagpipe Drone Stopper","*BP-S-DRONES*","Bagpipe Parts","0","0",
"BP-S-Drones","Bagpipe Drone Stopper","*BP-S-DRONES*","Bagpipe Parts","0","0",
"BP-S-Drones","Bagpipe Drone Stopper","*BP-S-DRONES*","Bagpipe Parts","0","0",
"BP-S-Drones","Bagpipe Drone Stopper","*BP-S-DRONES*","Bagpipe Parts","0","0",
"BP-P-Goose","Bagpipe Goose Adaptor","*BP-P-GOOSE*","Bagpipe Parts","0","0",
"BP-P-Goose","Bagpipe Goose Adaptor","*BP-P-GOOSE*","Bagpipe Parts","0","0",
"BP-P-GooseValve","Bagpipe Goose Adaptor with Airflow Valve","*BP-P-GOOSEVALVE*","Bagpipe Parts","0","0",
"BP-P-GooseValve","Bagpipe Goose Adaptor with Airflow Valve","*BP-P-GOOSEVALVE*","Bagpipe Parts","0","0",
"BP-P-GooseValve","Bagpipe Goose Adaptor with Airflow Valve","*BP-P-GOOSEVALVE*","Bagpipe Parts","0","0",
"BP-S-Stocks","Bagpipe Stock Stopper","*BP-S-STOCKS*","Bagpipe Parts","0","0",
"BP-S-Stocks","Bagpipe Stock Stopper","*BP-S-STOCKS*","Bagpipe Parts","0","0",
"BP-S-Stocks","Bagpipe Stock Stopper","*BP-S-STOCKS*","Bagpipe Parts","0","0",
"BP-C-StockCover","Chanter Stock Cover","*BP-C-STOCKCOVER*","Bagpipe Parts","0","0",
"BP-C-StockCover","Chanter Stock Cover","*BP-C-STOCKCOVER*","Bagpipe Parts","0","0",
"BP-DYCEM","Dycem Anti Slip Patch","*BP-DYCEM*","Bagpipe Parts","0","0",
"BP-DYCEM","Dycem Anti Slip Patch","*BP-DYCEM*","Bagpipe Parts","0","0",
"BP-DYCEM","Dycem Anti Slip Patch","*BP-DYCEM*","Bagpipe Parts","0","0",
"BP-DYCEM","Dycem Anti Slip Patch","*BP-DYCEM*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece3","Plastic Mouthpiece 3&quot;","*BP-M-MOUTHPIECE3*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece3","Plastic Mouthpiece 3&quot;","*BP-M-MOUTHPIECE3*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece3","Plastic Mouthpiece 3&quot;","*BP-M-MOUTHPIECE3*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece3","Plastic Mouthpiece 3&quot;","*BP-M-MOUTHPIECE3*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece3","Plastic Mouthpiece 3&quot;","*BP-M-MOUTHPIECE3*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece4","Plastic Mouthpiece 4&quot;","*BP-M-MOUTHPIECE4*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece4","Plastic Mouthpiece 4&quot;","*BP-M-MOUTHPIECE4*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece4","Plastic Mouthpiece 4&quot;","*BP-M-MOUTHPIECE4*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece4","Plastic Mouthpiece 4&quot;","*BP-M-MOUTHPIECE4*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece4","Plastic Mouthpiece 4&quot;","*BP-M-MOUTHPIECE4*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece5","Plastic Mouthpiece 5&quot;","*BP-M-MOUTHPIECE5*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece5","Plastic Mouthpiece 5&quot;","*BP-M-MOUTHPIECE5*","Bagpipe Parts","0","0",
