"stock_id","SKU","Image_URL","category","Title","description","long_description","price","instock","managestock","virtual","downloadable","tax_status","tax_class","allow_backorders","shipping_weight","shipping_length","shipping_width","shipping_height","shipping_class","cross_sell_SKUs","upsell_SKUs","tags",
"ma-lamp-bls2","ma-lamp-bls2",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/ma-lamp-bls2.jpg","Stands","Bandstand Music Lamp w/bulb Universal ","Bandstand Music Lamp w/bulb Universal ","With this versatile music stand light, you&#039;ll never be afraid of the dark! The clip-clamp adjusts to any angle and attaches to any music stand. Provides full illumination and leaves space for page-turning, can be angled so that light is not seen by the audience. Bulb included.","37.14","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-pbdc","d-gator-pbdc",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-pbdc.jpg","Drum Cases Carriers","Protechtor 22&quot; Marching B.D. Case, Black","Protechtor 22&quot; Marching B.D. Case, Black","This molded Bass Drum case by Protechtor is recognized as the industry standard among drum cases. It will provide strength, durability, and simplicity for almost any size of drum case. The rotational molding process gives added strength and durability to case corners and provides water resistance that non-roto molded cases can&#039;t match.","225","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-msc","d-gator-msc",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-msc.jpg","Drum Cases Carriers","Gator  Protechtor Marching Snare Case, Black","Gator  Protechtor Marching Snare Case, Black","This hard case will snugly hold a standard 14&quot; x 17&quot; marching snare, protecting it from marching season wear-and-tear with rotationally molded technology. This case also features a buckle-style strap as well as two carrying handles.

Gator Protechtor cases are considered the industry standard, featuring a rotational molding process that strengthens every corner. This process also makes the case more waterproof than a case not made with rotational molding. ","255.6","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-psc","d-gator-psc",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-psc.jpg","Drum Cases Carriers","~Pipe Band Snare Carrier ","~Pipe Band Snare Carrier ","The XL Specialties Snare Carrier by Gator","200","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-pbc","d-gator-pbc",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-pbc.jpg","Drum Cases Carriers","Gator Pipe Band Vest Bass Carrier ","Gator Pipe Band Vest Bass Carrier ","The XL Specialties Bass Vest Carrier by Gator","350","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-1612","d-gator-1612",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-1612.jpg","Drum Cases Carriers","Protechtor Classic Tenor (16x12) Case","Protechtor Classic Tenor (16x12) Case","This molded case by Protechtor is recognized as the industry standard among drum cases. It will provide strength, durability, and simplicity for almost any size of drum case. The rotational molding process gives added strength and durability to case corners and provides water resistance that non-roto molded cases can&#039;t match.","135","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-gp217","d-gator-gp217",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-gp217.jpg","Drum Cases Carriers","Protechtor Classic 14&quot; Snare Case","Protechtor Classic 14&quot; Snare Case","This molded case by Protechtor is recognized as the industry standard among drum cases. It will provide strength, durability, and simplicity for almost any size of drum case. The rotational molding process gives added strength and durability to case corners and provides water resistance that non-roto molded cases can&#039;t match.","157.14","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-gp219","d-gator-gp219",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-gp219.jpg","Drum Cases Carriers","Protechtor Classic Large Snare Case","Protechtor Classic Large Snare Case","This molded case by Protechtor is recognized as the industry standard among drum cases. It will provide strength, durability, and simplicity for almost any size of drum case. The rotational molding process gives added strength and durability to case corners and provides water resistance that non-roto molded cases can&#039;t match.","150","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-gator-pbcs","d-gator-pbcs",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-gator-pbcs.jpg","Drum Cases Carriers","~Gator Pipe Band Vest Snare Carrier ","~Gator Pipe Band Vest Snare Carrier ","~currently unavailable
The XL Specialties Snare Vest Carrier by Gator","380.95","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"SRHI","SRHI",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/SRHI.jpg","Drum Sticks and Mallets","Ralph Hardimon Indoor Snare","Ralph Hardimon Indoor Snare","In hickory with a Quick taper and barrel tip provide great sounds and articulation required for indoor activity. Length = 16 7/10&quot;, Diameter = .675&quot;.","16.43","2","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
