"stock_id", "Title", "barcode", "category", "price"
"u-balmoral-b-7","Scottish Balmoral Hat, Black Size 7","*U-BALMORAL-B-7*","","0","0",
"Purse-tartan-MCK","Kilt Purse McKenzie","*PURSE-TARTAN-MCK*","","0","0",
"Purse-tartan-MCK","Kilt Purse McKenzie","*PURSE-TARTAN-MCK*","","0","0",
"Purse-tartan-MCK","Kilt Purse McKenzie","*PURSE-TARTAN-MCK*","","0","0",
"U-KP-T","Kilt Pin Thistle","*U-KP-T*","","0","0",
"U-KP-T","Kilt Pin Thistle","*U-KP-T*","","0","0",
"U-KP-T","Kilt Pin Thistle","*U-KP-T*","","0","0",
"U-KP-T","Kilt Pin Thistle","*U-KP-T*","","0","0",
"U-KP-T","Kilt Pin Thistle","*U-KP-T*","","0","0",
"U-SG-TS","Sgian Dubh Thistle with Stone","*U-SG-TS*","","0","0",
"U-SG-TS","Sgian Dubh Thistle with Stone","*U-SG-TS*","","0","0",
"U-SG-TS","Sgian Dubh Thistle with Stone","*U-SG-TS*","","0","0",
"U-SG-TS","Sgian Dubh Thistle with Stone","*U-SG-TS*","","0","0",
"U-SG-TS","Sgian Dubh Thistle with Stone","*U-SG-TS*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"badge-lion","Lion Cap Badge","*BADGE-LION*","","0","0",
"blanket-tartan-McKen","McKenzie Tartan Blanket","*NKET-TARTAN-MCKEN*","","0","1",
"blanket-tartan-McKen","McKenzie Tartan Blanket","*NKET-TARTAN-MCKEN*","","0","1",
"blanket-tartan-McKen","McKenzie Tartan Blanket","*NKET-TARTAN-MCKEN*","","0","1",
"blanket-tartan-BW","Black Watch Tartan Blanket","*BLANKET-TARTAN-BW*","","0","0",
"blanket-tartan-BW","Black Watch Tartan Blanket","*BLANKET-TARTAN-BW*","","0","0",
"blanket-tartan-BW","Black Watch Tartan Blanket","*BLANKET-TARTAN-BW*","","0","0",
"Purse-tartan-RS","Kilt Purse Royal Stewart","*PURSE-TARTAN-RS*","","0","0",
"Purse-tartan-RS","Kilt Purse Royal Stewart","*PURSE-TARTAN-RS*","","0","0",
"Purse-tartan-RS","Kilt Purse Royal Stewart","*PURSE-TARTAN-RS*","","0","0",
"u-balmoral-royal-75","Scottish Balmoral Hat, Royal Blue Size 7.5","*-BALMORAL-ROYAL-7*","","0","3",
"u-balmoral-royal-75","Scottish Balmoral Hat, Royal Blue Size 7.5","*-BALMORAL-ROYAL-7*","","0","3",
"u-balmoral-bw-7","Scottish Balmoral Hat, Black Watch Size 7","*U-BALMORAL-BW-7*","","0","0",
"u-balmoral-bw-75","Scottish Balmoral Hat, Black Watch Size 7.5","*U-BALMORAL-BW-75*","","0","0",
"u-balmoral-rs-7","Scottish Balmoral Hat, Royal Stewart Size 7","*U-BALMORAL-RS-7*","","0","0",
"u-balmoral-rs-75","Scottish Balmoral Hat, Royal Stewart Size 7.5","*U-BALMORAL-RS-75*","","0","0",
"u-balmoral-green-75","Scottish Balmoral Hat, Green Size 7.5","*-BALMORAL-GREEN-7*","","0","3",
"u-balmoral-green-75","Scottish Balmoral Hat, Green Size 7.5","*-BALMORAL-GREEN-7*","","0","3",
"u-balmoral-mar-75","Scottish Balmoral Hat, Maroon Size 7.5","*U-BALMORAL-MAR-75*","","0","0",
"u-balmoral-mar-75","Scottish Balmoral Hat, Maroon Size 7.5","*U-BALMORAL-MAR-75*","","0","0",
"u-balmoral-navy-75","Scottish Balmoral Hat, Navy Size 7.5","*-BALMORAL-NAVY-75*","","0","2",
"u-balmoral-navy-75","Scottish Balmoral Hat, Navy Size 7.5","*-BALMORAL-NAVY-75*","","0","2",
"u-balmoral-hos-7","Scottish Balmoral Hat, Honor of Scotland Size 7","*U-BALMORAL-HOS-7*","","0","0",
"u-balmoral-hos-75","Scottish Balmoral Hat, Honor of Scotland Size 7.5","*U-BALMORAL-HOS-75*","","0","0",
"u-balmoral-royal-75","Scottish Balmoral Hat, Royal Blue Size 7.5","*-BALMORAL-ROYAL-7*","","0","3",
"u-balmoral-royal-75","Scottish Balmoral Hat, Royal Blue Size 7.5","*-BALMORAL-ROYAL-7*","","0","3",
"u-balmoral-tan-75","Scottish Balmoral Hat, Tan Size 7.5","*U-BALMORAL-TAN-75*","","0","0",
