ITEM,ITEM_CODE,STOCK_ID,Description,Category,units,dummy,MB_FLAG,Currency,Price,
ITEM,BeerMug-piper,BeerMug-piper,Beer Mug – Piper,Glassware,ea,,B,CAD,23.81,24.95
BUY,BeerMug-piper,BeerMug-piper,PBS-0075 Beer Mug – Piper,Robert Hall Originals,ea,1,B,CAD,12.5,
ITEM,BeerMug-dancer,BeerMug-dancer,Beer Mug – dancer,Glassware,ea,,B,CAD,23.81,
BUY,BeerMug-dancer,BeerMug-dancer,PBS-0090 Beer Mug – dancer,Robert Hall Originals,ea,1,B,CAD,12.5,
ITEM,BeerMug-Thistle,BeerMug-Thistle,Beer Mug – Thistle,Glassware,ea,,B,CAD,23.81,
BUY,BeerMug-Thistle,BeerMug-Thistle,PBS-0073 Beer Mug – Thistle,Robert Hall Originals,ea,1,B,CAD,12.5,
ITEM,BeerMug-Drummer,BeerMug-Drummer,Beer Mug – Drummer,Glassware,ea,,B,CAD,23.81,
BUY,BeerMug-Drummer,BeerMug-Drummer,PBS-0077 Beer Mug – Drummer,Robert Hall Originals,ea,1,B,CAD,12.5,
ITEM,BeerMug-dancer-Irish,BeerMug-dancer-Irish,Beer Mug – dancer-Irish,Glassware,ea,,B,CAD,23.81,
BUY,BeerMug-dancer-Irish,BeerMug-dancer-Irish,PBS-0091 Beer Mug – dancer-Irish,Robert Hall Originals,ea,1,B,CAD,12.5,
ITEM,BeerMug-Piper-Standing,BeerMug-Piper-Standing,Beer Mug – Piper-Standing,Glassware,ea,,B,CAD,23.81,24.95
BUY,BeerMug-Piper-Standing,BeerMug-Piper-Standing,PBS-0074 Beer Mug – Piper-Standing,Robert Hall Originals,ea,1,B,CAD,12.5,
ITEM,BeerMug-Claddagh,BeerMug-Claddagh,Beer Mug – Claddagh,Glassware,ea,,B,CAD,23.81,
BUY,BeerMug-Claddagh,BeerMug-Claddagh,PBS-0085 Beer Mug – Claddagh,Robert Hall Originals,ea,1,B,CAD,12.5,
ITEM,Shooter-dancer,Shooter-dancer,Shooter Glass – dancer,Glassware,ea,,B,CAD,12.38,
BUY,Shooter-dancer,Shooter-dancer,IS-37 Shooter Glass – dancer,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Shooter-Thistle,Shooter-Thistle,Shooter Glass – Thistle,Glassware,ea,,B,CAD,12.38,
BUY,Shooter-Thistle,Shooter-Thistle,IS-35 Shooter Glass – Thistle,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Shooter-Drummer,Shooter-Drummer,Shooter Glass – Drummer,Glassware,ea,,B,CAD,12.38,
BUY,Shooter-Drummer,Shooter-Drummer,IS-38 Shooter Glass – Drummer,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Shooter-piper-standing,Shooter-piper-standing,Shooter Glass – Piper – Standing,Glassware,ea,,B,CAD,12.38,12.95
BUY,Shooter-piper-standing,Shooter-piper-standing,IS-36 Shooter Glass – Piper – Standing,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Shooter-Claddagh,Shooter-Claddagh,Shooter Glass – Claddagh,Glassware,ea,,B,CAD,12.38,
BUY,Shooter-Claddagh,Shooter-Claddagh,IS-45 Shooter Glass – Claddagh,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Votive-Dancer,Votive-Dancer,Votive - Dancer ,Novelty,ea,,B,CAD,13,23.95
BUY,Votive-Dancer,Votive-Dancer,PVC-88 Votive - Dancer ,Robert Hall Originals,ea,1,B,CAD,15,
ITEM,Ornament-drummer,Ornament-drummer,Ornament - Drummer Boy,Novelty,ea,,B,CAD,14.29,14.95
BUY,Ornament-drummer,Ornament-drummer,CD-077 Ornament - Drummer Boy,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,Ornament-Angel-Lyre,Ornament-Angel-Lyre,Ornament - Angel-Lyre,Novelty,ea,,B,CAD,14.29,
BUY,Ornament-Angel-Lyre,Ornament-Angel-Lyre,CD-056 Ornament - Angel-Lyre,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,Ornament-Angel-Guitar,Ornament-Angel-Guitar,Ornament - Angel-Guitar,Novelty,ea,,B,CAD,14.29,
BUY,Ornament-Angel-Guitar,Ornament-Angel-Guitar,CD-060 Ornament - Angel-Guitar,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,Ornament-Angel-Horn,Ornament-Angel-Horn,Ornament - Angel-Horn,Novelty,ea,,B,CAD,14.29,
BUY,Ornament-Angel-Horn,Ornament-Angel-Horn,CD-061 Ornament - Angel-Horn,Robert Hall Originals,ea,1,B,CAD,7,
ITEM,Ornament-TinSoldier,Ornament-TinSoldier,Ornament – TinSoldier,Novelty,ea,,B,CAD,19.05,
BUY,Ornament-TinSoldier,Ornament-TinSoldier,CD-022 Ornament – TinSoldier,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Ornament-SaintNick,Ornament-SaintNick,Ornament – SaintNick,Novelty,ea,,B,CAD,19.05,
BUY,Ornament-SaintNick,Ornament-SaintNick,CD-023 Ornament – SaintNick,Robert Hall Originals,ea,1,B,CAD,9,
ITEM,Ornament-Wreath-treble,Ornament-Wreath-treble,Ornament - Wreath - Treble Clef,Novelty,ea,,B,CAD,40,21.95
BUY,Ornament-Wreath-treble,Ornament-Wreath-treble,Wwc-013 Ornament - Wreath - Treble Clef,Robert Hall Originals,ea,1,B,CAD,21.95,
ITEM,Ornament-Wreath-Peace,Ornament-Wreath-Peace,Ornament - Wreath – Peace,Novelty,ea,,B,CAD,19.05,
BUY,Ornament-Wreath-Peace,Ornament-Wreath-Peace,CD-189 Ornament - Wreath – Peace,Robert Hall Originals,ea,1,B,CAD,14.95,
ITEM,Champagne-dancer,Champagne-dancer,Champagne Glass – dancer,Glassware,ea,,B,CAD,19.1666666667,
BUY,Champagne-dancer,Champagne-dancer,PCG-0010 Champagne Glass – dancer,Robert Hall Originals,ea,1,B,CAD,11.5,
ITEM,Champagne-Thistle,Champagne-Thistle,Champagne Glass – Thistle,Glassware,ea,,B,CAD,19.1666666667,
BUY,Champagne-Thistle,Champagne-Thistle,PCG-0009 Champagne Glass – Thistle,Robert Hall Originals,ea,1,B,CAD,11.5,
ITEM,Champagne-Claddagh,Champagne-Claddagh,Champagne Glass – Claddagh,Glassware,ea,,B,CAD,19.1666666667,
BUY,Champagne-Claddagh,Champagne-Claddagh,PCG-0011 Champagne Glass – Claddagh,Robert Hall Originals,ea,1,B,CAD,11.5,
ITEM,Wine-piper,Wine-piper,Wine Glass – Piper,Glassware,ea,,B,CAD,28.57,
BUY,Wine-piper,Wine-piper,PWG-0029 Wine Glass – Piper,Robert Hall Originals,ea,1,B,CAD,15,
ITEM,Wine-dancer,Wine-dancer,Wine Glass – dancer,Glassware,ea,,B,CAD,28.57,29.95
BUY,Wine-dancer,Wine-dancer,PWG-0018 Wine Glass – dancer,Robert Hall Originals,ea,1,B,CAD,15,
ITEM,Wine-Thistle,Wine-Thistle,Wine Glass – Thistle,Glassware,ea,,B,CAD,28.57,
BUY,Wine-Thistle,Wine-Thistle,PWG-0015 Wine Glass – Thistle,Robert Hall Originals,ea,1,B,CAD,15,
ITEM,Wine-dancer-Irish,Wine-dancer-Irish,Wine Glass – dancer-Irish,Glassware,ea,,B,CAD,28.57,
BUY,Wine-dancer-Irish,Wine-dancer-Irish,PWG-0019 Wine Glass – dancer-Irish,Robert Hall Originals,ea,1,B,CAD,15,
ITEM,Wine-Claddagh,Wine-Claddagh,Wine Glass – Claddagh,Glassware,ea,,B,CAD,28.57,
BUY,Wine-Claddagh,Wine-Claddagh,PWG-0016 Wine Glass – Claddagh,Robert Hall Originals,ea,1,B,CAD,15,
ITEM,Shot-dancer,Shot-dancer,Shot Glass – dancer,Glassware,ea,,B,CAD,12.38,
BUY,Shot-dancer,Shot-dancer,PSG-045 Shot Glass – dancer,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Shot-Thistle,Shot-Thistle,Shot Glass – Thistle,Glassware,ea,,B,CAD,12.38,
BUY,Shot-Thistle,Shot-Thistle,PSG-040 Shot Glass – Thistle,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Shot-Drummer,Shot-Drummer,Shot Glass – Drummer,Glassware,ea,,B,CAD,12.38,
BUY,Shot-Drummer,Shot-Drummer,PSG-043 Shot Glass – Drummer,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Shot-piper-standing,Shot-piper-standing,Shot Glass – Piper – Standing,Glassware,ea,,B,CAD,12.380952381,12.95
BUY,Shot-piper-standing,Shot-piper-standing,PSG-041 Shot Glass – Piper – Standing,Robert Hall Originals,ea,1,B,CAD,6.5,
ITEM,Rock-piper,Rock-piper,Rock Glass – Piper,Glassware,ea,,B,CAD,19.05,12.74
BUY,Rock-piper,Rock-piper,RG-003 Rock Glass – Piper,Robert Hall Originals,ea,1,B,CAD,10,
ITEM,Rock-Thistle,Rock-Thistle,Rock Glass – Thistle,Glassware,ea,,B,CAD,19.05,
BUY,Rock-Thistle,Rock-Thistle,RG-004 Rock Glass – Thistle,Robert Hall Originals,ea,1,B,CAD,10,
ITEM,Rock-Drummer,Rock-Drummer,Rock Glass – Drummer,Glassware,ea,,B,CAD,19.05,
BUY,Rock-Drummer,Rock-Drummer,RG-006 Rock Glass – Drummer,Robert Hall Originals,ea,1,B,CAD,10,
ITEM,Charm-Cross,Charm-Cross,Charm – Cross,Charm,ea,,B,CAD,2.86,
BUY,Charm-Cross,Charm-Cross,MPC-19 Charm – Cross,Robert Hall Originals,ea,1,B,CAD,1.74,
ITEM,Charm-Cross-Celtic-High,Charm-Cross-Celtic-High,Charm – Cross-Celtic-High,Charm,ea,,B,CAD,5.71,
BUY,Charm-Cross-Celtic-High,Charm-Cross-Celtic-High,CPP-001 Charm – Cross-Celtic-High,Robert Hall Originals,ea,1,B,CAD,3.42,
ITEM,Charm-Cross-Meditation,Charm-Cross-Meditation,Charm – Cross-Meditation,Charm,ea,,B,CAD,5.71,
BUY,Charm-Cross-Meditation,Charm-Cross-Meditation,CPP-003 Charm – Cross-Meditation,Robert Hall Originals,ea,1,B,CAD,3.65,
